ParentLocationCode,ParentLocation,SpatialCode,Location,Period,Sex,Value
EUR,Europe,LTU,Lithuania,2019,Both sexes,75.99
AMR,Americas,MEX,Mexico,2019,Both sexes,76.01
EMR,Eastern Mediterranean,SAU,Saudi Arabia,2019,Female,76.15
AMR,Americas,TTO,Trinidad and Tobago,2019,Both sexes,76.13
EMR,Eastern Mediterranean,ARE,United Arab Emirates,2019,Both sexes,76.08
AFR,Africa,DZA,Algeria,2019,Male,76.23
AMR,Americas,DOM,Dominican Republic,2019,Female,76.19
EUR,Europe,ALB,Albania,2019,Male,76.25
EUR,Europe,CZE,Czechia,2019,Male,76.30
AMR,Americas,USA,United States of America,2019,Male,76.28
AMR,Americas,ECU,Ecuador,2019,Male,76.41
EUR,Europe,HUN,Hungary,2019,Both sexes,76.44
EMR,Eastern Mediterranean,LBN,Lebanon,2019,Both sexes,76.44
EUR,Europe,TUR,Türkiye,2019,Male,76.44
AMR,Americas,ATG,Antigua and Barbuda,2019,Both sexes,76.45
AMR,Americas,ARG,Argentina,2019,Both sexes,76.58
AMR,Americas,BHS,Bahamas,2019,Female,76.59
AMR,Americas,PAN,Panama,2019,Male,76.65
EMR,Eastern Mediterranean,QAT,Qatar,2019,Female,76.63
AMR,Americas,COL,Colombia,2019,Male,76.69
EUR,Europe,BIH,Bosnia and Herzegovina,2019,Both sexes,76.75
EUR,Europe,MKD,The former Yugoslav Republic of Macedonia,2019,Female,76.87
SEAR,South-East Asia,LKA,Sri Lanka,2019,Both sexes,76.87
EMR,Eastern Mediterranean,BHR,Bahrain,2019,Female,77.02
EMR,Eastern Mediterranean,JOR,Jordan,2019,Male,77.02
EMR,Eastern Mediterranean,TUN,Tunisia,2019,Both sexes,77.04
AFR,Africa,DZA,Algeria,2019,Both sexes,77.13
WPR,Western Pacific,MYS,Malaysia,2019,Female,77.08
EUR,Europe,MDA,Republic of Moldova,2019,Female,77.12
AFR,Africa,SYC,Seychelles,2019,Female,77.15
AMR,Americas,URY,Uruguay,2019,Both sexes,77.10
EMR,Eastern Mediterranean,QAT,Qatar,2019,Both sexes,77.17
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2019,Both sexes,77.35
EUR,Europe,KGZ,Kyrgyzstan,2019,Female,77.31
EMR,Eastern Mediterranean,LBY,Libya,2019,Female,77.34
AFR,Africa,MUS,Mauritius,2019,Female,77.32
WPR,Western Pacific,CHN,China,2019,Both sexes,77.43
EUR,Europe,KAZ,Kazakhstan,2019,Female,77.61
AMR,Americas,BRB,Barbados,2019,Female,77.66
AMR,Americas,JAM,Jamaica,2019,Female,77.68
AMR,Americas,LCA,Saint Lucia,2019,Female,77.71
SEAR,South-East Asia,THA,Thailand,2019,Both sexes,77.70
AMR,Americas,BLZ,Belize,2019,Female,77.77
AMR,Americas,CUB,Cuba,2019,Both sexes,77.76
EUR,Europe,GEO,Georgia,2019,Female,77.76
EUR,Europe,UKR,Ukraine,2019,Female,77.81
AFR,Africa,CPV,Cabo Verde,2019,Female,77.94
EMR,Eastern Mediterranean,JOR,Jordan,2019,Both sexes,77.87
AMR,Americas,NIC,Nicaragua,2019,Female,77.93
EUR,Europe,ALB,Albania,2019,Both sexes,78.00
AMR,Americas,ATG,Antigua and Barbuda,2019,Female,77.96
EMR,Eastern Mediterranean,QAT,Qatar,2019,Male,78.03
EUR,Europe,RUS,Russian Federation,2019,Female,78.00
AFR,Africa,DZA,Algeria,2019,Female,78.12
AMR,Americas,CHL,Chile,2019,Male,78.09
WPR,Western Pacific,VNM,Viet Nam,2019,Female,78.11
EUR,Europe,SVK,Slovakia,2019,Both sexes,78.23
AMR,Americas,VEN,Venezuela (Bolivarian Republic of),2019,Female,78.17
AMR,Americas,CRI,Costa Rica,2019,Male,78.31
EUR,Europe,POL,Poland,2019,Both sexes,78.27
EUR,Europe,SRB,Serbia,2019,Female,78.28
AMR,Americas,ECU,Ecuador,2019,Both sexes,78.45
EMR,Eastern Mediterranean,ARE,United Arab Emirates,2019,Female,78.42
AMR,Americas,PER,Peru,2019,Male,78.46
AMR,Americas,USA,United States of America,2019,Both sexes,78.50
EUR,Europe,BGR,Bulgaria,2019,Female,78.60
EUR,Europe,HRV,Croatia,2019,Both sexes,78.64
EUR,Europe,GRC,Greece,2019,Male,78.64
SEAR,South-East Asia,MDV,Maldives,2019,Male,78.63
EUR,Europe,PRT,Portugal,2019,Male,78.56
EUR,Europe,SVN,Slovenia,2019,Male,78.59
EUR,Europe,TUR,Türkiye,2019,Both sexes,78.62
EUR,Europe,DEU,Germany,2019,Male,78.72
EUR,Europe,MNE,Montenegro,2019,Female,78.65
EMR,Eastern Mediterranean,JOR,Jordan,2019,Female,78.78
AMR,Americas,PRY,Paraguay,2019,Female,78.85
EUR,Europe,EST,Estonia,2019,Both sexes,78.88
AMR,Americas,MEX,Mexico,2019,Female,78.86
EUR,Europe,BIH,Bosnia and Herzegovina,2019,Female,79.09
EUR,Europe,CZE,Czechia,2019,Both sexes,79.13
AMR,Americas,SLV,El Salvador,2019,Female,79.13
EMR,Eastern Mediterranean,IRN,Iran (Islamic Republic of),2019,Female,79.09
EUR,Europe,ARM,Armenia,2019,Female,79.16
EUR,Europe,FIN,Finland,2019,Male,79.16
EMR,Eastern Mediterranean,LBN,Lebanon,2019,Female,79.15
EMR,Eastern Mediterranean,TUN,Tunisia,2019,Female,79.19
EUR,Europe,BEL,Belgium,2019,Male,79.29
AMR,Americas,COL,Colombia,2019,Both sexes,79.31
EMR,Eastern Mediterranean,KWT,Kuwait,2019,Male,79.25
AMR,Americas,PAN,Panama,2019,Both sexes,79.29
EUR,Europe,ROU,Romania,2019,Female,79.26
EUR,Europe,AUT,Austria,2019,Male,79.44
AMR,Americas,BRA,Brazil,2019,Female,79.39
AMR,Americas,ARG,Argentina,2019,Female,79.50
EUR,Europe,BLR,Belarus,2019,Female,79.62
EUR,Europe,DNK,Denmark,2019,Male,79.59
EUR,Europe,HUN,Hungary,2019,Female,79.59
SEAR,South-East Asia,MDV,Maldives,2019,Both sexes,79.59
EUR,Europe,FRA,France,2019,Male,79.76
